Float,Weapon Name,Skin Name,Single Cost ($),10x Cost ($),Average Profit ($),Net Profit ($),Net Profit After Steam ($),ROI %
0.23,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.23,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.23,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.24,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.24,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.24,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.24,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.24,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.24,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.24,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.24,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.24,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.24,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.25,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.25,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.25,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.25,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.25,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.25,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.25,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.25,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.25,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.25,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.26,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.26,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.26,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.26,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.26,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.26,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.26,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.26,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.26,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.26,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.27,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.27,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.27,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.27,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.27,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.27,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.27,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.27,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.27,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.27,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.28,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.28,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.28,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.28,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.28,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.28,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.28,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.28,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.28,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.28,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.29,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.29,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.29,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.29,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.29,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.29,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.29,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.29,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.29,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.29,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.3,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.3,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.3,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.3,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.3,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.3,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.3,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.3,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.3,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.3,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.31,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.31,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.31,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.31,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.31,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.31,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.31,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.31,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.31,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.31,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.32,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.32,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.32,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.32,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.32,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.32,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.32,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.32,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.32,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.32,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.33,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.33,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.33,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.33,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.33,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.33,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.33,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.33,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
