itemID,itemType,itemMarketName,medianPrice
176118273,Agent,AUG | Tom Cat (Field-Tested),0.07
176118315,Agent,R8 Revolver | Bone Forged (Field-Tested),0.07
176118359,Agent,StatTrak™ MAG-7 | Justice (Field-Tested),4.79
176118290,Agent,R8 Revolver | Bone Forged (Minimal Wear),0.14
176118348,Agent,StatTrak™ MP5-SD | Desert Strike (Battle-Scarred),0.13
176118282,Agent,AWP | Capillary (Field-Tested),0.22
176118310,Agent,AK-47 | Phantom Disruptor (Minimal Wear),8.92
176118281,Agent,SG 553 | Darkwing (Field-Tested),0.53
176118298,Agent,Desert Eagle | Blue Ply (Field-Tested),0.14
176118308,Agent,Desert Eagle | Blue Ply (Minimal Wear),0.28
176118328,Agent,MAG-7 | Justice (Field-Tested),2.48
176118299,Agent,SG 553 | Darkwing (Minimal Wear),0.89
176118394,Agent,AK-47 | Phantom Disruptor (Factory New),14.01
176118387,Agent,MAG-7 | Justice (Minimal Wear),5.27
176118403,Agent,M4A1-S | Player Two (Minimal Wear),54.82
176118368,Agent,M4A1-S | Player Two (Field-Tested),26.94
176118307,Agent,SSG 08 | Fever Dream (Field-Tested),0.57
176118329,Agent,Desert Eagle | Blue Ply (Well-Worn),0.12
176118283,Agent,StatTrak™ R8 Revolver | Bone Forged (Field-Tested),0.14
176118331,Agent,MAG-7 | Justice (Well-Worn),1.95
176118372,Agent,StatTrak™ P2000 | Acid Etched (Field-Tested),1.06
176118378,Agent,StatTrak™ CZ75-Auto | Distressed (Minimal Wear),0.28
176118370,Agent,StatTrak™ P2000 | Acid Etched (Factory New),7.0
176118426,Agent,Glock-18 | Bullet Queen (Factory New),61.05
176118357,Agent,StatTrak™ MAC-10 | Disco Tech (Well-Worn),5.1
176118452,Agent,StatTrak™ AK-47 | Phantom Disruptor (Battle-Scarred),13.76
176118425,Agent,StatTrak™ SCAR-20 | Enforcer (Factory New),6.57
176118406,Agent,StatTrak™ SG 553 | Darkwing (Battle-Scarred),0.76
176118353,Agent,StatTrak™ AK-47 | Phantom Disruptor (Factory New),48.84
176118380,Agent,MP5-SD | Desert Strike (Factory New),0.34
176118341,Agent,R8 Revolver | Bone Forged (Well-Worn),0.07
176118423,Agent,StatTrak™ CZ75-Auto | Distressed (Battle-Scarred),0.12
176118292,Agent,AUG | Tom Cat (Battle-Scarred),0.07
176118393,Agent,StatTrak™ CZ75-Auto | Distressed (Field-Tested),0.13
176118390,Agent,CZ75-Auto | Distressed (Factory New),0.31
176118288,Agent,MP5-SD | Desert Strike (Well-Worn),0.07
176118410,Agent,StatTrak™ MAC-10 | Disco Tech (Factory New),58.01
176118279,Agent,MAG-7 | Justice (Battle-Scarred),1.68
176118431,Agent,StatTrak™ SSG 08 | Fever Dream (Battle-Scarred),1.37
176118433,Agent,AK-47 | Phantom Disruptor (Well-Worn),7.93
176118436,Agent,StatTrak™ MAG-7 | Justice (Well-Worn),3.44
176118333,Agent,StatTrak™ R8 Revolver | Bone Forged (Well-Worn),0.15
176118362,Agent,AK-47 | Phantom Disruptor (Battle-Scarred),5.63
176118354,Agent,StatTrak™ CZ75-Auto | Distressed (Factory New),1.0
176118306,Agent,StatTrak™ AUG | Tom Cat (Well-Worn),0.38
176118460,Agent,StatTrak™ AWP | Capillary (Factory New),11.29
176118442,Agent,StatTrak™ MAG-7 | Justice (Minimal Wear),10.04
176118446,Agent,M4A1-S | Player Two (Battle-Scarred),13.9
176118415,Agent,StatTrak™ MAC-10 | Disco Tech (Battle-Scarred),3.71
176118422,Agent,StatTrak™ M4A1-S | Player Two (Field-Tested),53.84
176118420,Agent,StatTrak™ Desert Eagle | Blue Ply (Factory New),6.62
176118412,Agent,StatTrak™ AK-47 | Phantom Disruptor (Minimal Wear),25.09
176118381,Agent,StatTrak™ SCAR-20 | Enforcer (Well-Worn),0.78
